"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
GB7RX,2M,RV62,145.775000,145.175000,103.5,SE,BRANDMEISTER,3,JO00GU,TQ7911,HASTINGS,Y,,,,
GB7RY,70CM,RU76,0.000000,0.000000,103.5,SE,,,JO00HW,TQ8320,RYE,,,Y,,
GB7SA,70CM,DVU-R24,430.300000,439.300000,,WM,BRANDMEISTER,5,IO81,SS7893,PORT TALBOT,Y,,,,
GB7SB,70CM,DVU53,439.662500,430.662500,,CEN,SALOP DMR,5,IO92,SP0379,BIRMINGHAM,Y,,,,
GB7SC,70CM,DVU48,439.600000,430.600000,,NOR,,,IO99GI,SK3684,SHEFFIELD,,Y,,,
GB7SD,70CM,DVU33,439.412500,430.412500,,SW,SW CLUSTER,1,IO80SQ,SY6785,WEYMOUTH,Y,,,,
GB7SE,70CM,DVU38,439.475000,430.475000,,SE,DV Scotland Phoenix,3,JO01DM,TQ5781,THURROCK,Y,,,,
GB7SF-C,2M,RV59,145.737500,145.137500,,NOR,,,IO93GK,SK3791,SHEFFIELD,,Y,,,
GB7SG,2M,RV61,145.762500,145.162500,,NOR,DV Scotland Phoenix,1,IO83MK,SJ3893,LIVERPOOL,Y,,,,
GB7SH,70CM,RU77,430.962500,438.562500,71.9,NOR,,,IO93GK,SK3791,SHEFFIELD,,,Y,,
GB7SI,70CM,DVU61,439.762500,430.762500,,CEN,BRANDMEISTER,1,IO83,SJ9158,LEEK,Y,,,,
GB7SK,70CM,DVU37,439.462500,430.462500,,CEN,DV Scotland Phoenix,1,IO92NO,SK7303,LEICESTER,Y,,,,
GB7SL,70CM,DVU50,439.625000,430.625000,,CEN,BRANDMEISTER,8,IO92TR,TF1114,BASTON,Y,,,,
GB7SM,70CM,DVU47,439.587500,430.587500,103.5,SCOT,DV Scotland Phoenix,1,IO86,NO5201,FIFE,Y,Y,Y,Y,
GB7SN,70CM,DVU54,439.675000,430.675000,,NOR,BRANDMEISTER,1,IO93GH,SK3481,SHEFFIELD,Y,,,,
GB7SO,70CM,DVU42,439.525000,430.525000,,SW,BRANDMEISTER,1,IO90KT,SU6001,GOSPORT,Y,Y,,,
GB7SP,70CM,DVU60,439.750000,430.750000,,SW,SW CLUSTER,3,IO91CB,SU1427,SALISBURY,Y,,,,
GB7SQ,70CM,DVU54,439.675000,430.675000,,SCOT,BRANDMEISTER,1,IO85,NT3561,DALKEITH,Y,,,Y,
GB7SR,70CM,DVU51,439.637500,430.637500,,NOR,BRANDMEISTER,2,IO93GJ,SK3589,SHEFFIELD,Y,,,,
GB7SS,70CM,DVU47,439.587500,430.587500,,SCOT,BRANDMEISTER,1,IO87IP,NJ2164,ELGIN,Y,,,,
GB7ST,70CM,DVU36,439.450000,430.450000,,CEN,BRANDMEISTER,1,IO83,SJ9348,STOKE ON TRENT,Y,,,,
GB7SU,70CM,DVU36,439.450000,430.450000,,SW,DV Scotland Phoenix,8,IO90IV,SU4711,SOUTHAMPTON,Y,,,,
GB7SV,70CM,DVU47,439.587500,430.587500,82.5,SE,,,IO91,TL1725,HITCHIN,,,Y,,
GB7SW,2M,RV51,145.637500,145.037500,,SW,,2,IO81VL,ST8875,CHIPPENHAM,,Y,,,
GB7TB,70CM,,439.218800,430.218800,,CEN,,,IO92TR,TF1114,BASTON,,,,,
GB7TC,70CM,DVU42,439.525000,430.525000,,SW,DV Scotland Phoenix,2,IO91DL,SU2076,SWINDON,Y,,,,
GB7TD,70CM,DVU13,439.162500,430.162500,,NOR,NORTHERN DMR CLUSTER,1,IO93EP,SE2215,WAKEFIELD,Y,,,,
GB7TE,2M,RV62,145.775000,145.175000,,SE,,,JO01OT,TM2117,CLACTON ON SEA,,Y,,,
GB7TF,70CM,DVU39,439.487500,430.487500,,SE,,,IO91QT,SP9211,TRING,,,Y,,
GB7TG,70CM,RU78,430.975000,438.575000,118.8,SW,,7,IO80,SS6609,WEMBWORTHY,Y,,,,
GB7TH,70CM,DVU-R23,430.287500,439.287500,,SE,BRANDMEISTER,5,JO01QJ,TR3770,MARGATE,Y,,,,
GB7TM,70CM,DVU59,439.737500,430.737500,,SE,,,JO02NH,TM1070,EYE,,,Y,,
GB7TP,70CM,DVU55,439.687500,430.687500,,NOR,BRANDMEISTER,1,IO93CT,SE1336,SHIPLEY,Y,Y,Y,,
GB7TQ,70CM,RU71,430.887500,438.487500,94.8,SW,,,IO80FM,SX9168,TORQUAY,,,Y,,
GB7TR,70CM,,434.000000,0.000000,,SE,,,JO01D1,TQ6163,NEW ASH GREEN,,,,,
GB7TT,70CM,DVU40,439.503125,430.503125,,SW,,,IO82,SO6077,LUDLOW,,,,Y,
GB7TX,70CM,U321A,434.018750,434.018750,,CEN,,,JO02TK,TM4488,BECCLES,,,,,
GB7TY,70CM,DVU49,439.612500,430.612500,,NOR,,10,IO84XX,NY9766,HEXHAM,Y,Y,,,
GB7UL,70CM,DVU42,439.525000,430.525000,,NI,DV Scotland Phoenix,1,IO74,IJ3892,CARRICKFERGUS,Y,,,,
GB7VH,70CM,DVU34,439.425000,430.425000,,SE,BRANDMEISTER,10,IO91VS,TL2207,HATFIELD,Y,,,,
GB7VO,70CM,DVU56,439.700000,430.700000,,WM,,1,IO82QJ,SO5975,TENBURY WELLS,Y,Y,Y,Y,
GB7VR,2M,RV49,145.612500,145.012500,82.5,SE,,,IO91TU,TL1317,HARPENDEN,,,Y,,
GB7VT,70CM,U94,431.175000,431.175000,,CEN,,5,IO83,SJ9347,STOKE-ON-TRENT,Y,,,,
GB7WB,70CM,DVU39,439.487500,430.487500,,SW,BRANDMEISTER,2,IO81MH,ST3358,WESTON-SUPER-MARE,,Y,,,
GB7WC,70CM,DVU39,439.487500,430.487500,,NOR,,,IO83QI,SJ5783,WARRINGTON,,Y,,,
GB7WD,70CM,DVU57,439.712500,430.712500,,CEN,SALOP DMR,11,IO82,SO9193,SEDGLEY,Y,,,,
GB7WF,70CM,DVU39,439.487500,430.487500,,WM,BRANDMEISTER,13,IO82,SO7775,BEWDLEY,Y,Y,Y,Y,
GB7WH,70CM,DMU30,439.375000,430.375000,110.9,WM,,,IO83,SJ3252,WREXHAM,,,Y,,
GB7WI,70CM,DVU33,439.412500,430.412500,,NOR,BRANDMEISTER,1,IO93SS,TA0532,COTTINGHAM,Y,,,,
GB7WK,70CM,DVU41,439.512500,430.512500,,SW,BRANDMEISTER,15,IO91,SU9658,WOKING,Y,Y,Y,Y,
GB7WL,70CM,DVU37,439.462500,430.462500,,SE,DV Scotland Phoenix,3,IO91QP,SU9595,AMERSHAM,Y,,,,
GB7WM,70CM,DVU55,439.687500,430.687500,,NOR,,,IO83SM,SD6801,ASTLEY,,,Y,,
GB7WN,70CM,DVU60,439.750000,430.750000,,CEN,SALOP DMR,8,IO82XP,SJ9403,WOLVERHAMPTON,Y,,,,
GB7WR,70CM,DVU37,439.462500,430.462500,,WM,,,IO82UB,SO7742,GREAT MALVERN,,Y,,,
GB7WS,70CM,DVU34,439.425000,430.425000,,SE,DV Scotland Phoenix,3,IO91SA,TQ0826,BILLINGSHURST,Y,,,,
GB7WT,70CM,DVU48,439.600000,430.600000,,NI,BRANDMEISTER,1,IO64HQ,IH3982,OMAGH,Y,Y,Y,,
GB7WV,70CM,DVU55,439.687500,430.687500,,CEN,BRANDMEISTER,2,IO92NL,SP7487,MARKET HARBOROUGH,Y,,,,
GB7WW,70CM,DVU38,439.475000,430.475000,,SW,SW CLUSTER,7,IO81,ST9276,KINGTON LANGLEY,Y,,,,
GB7WX,70CM,DVU41,439.512500,430.512500,,NOR,BRANDMEISTER,3,IO83OE,SJ4866,TARVIN,Y,Y,Y,,
GB7WY,70CM,DVU41,439.512500,430.512500,,NOR,,,IO93FR,SE3024,WAKEFIELD,,,Y,,
GB7XF,70CM,DVU-R20,430.250000,439.250000,82.5,NOR,freeDMR,10,IO83XM,SD9401,ASHTON-UNDER-LYNE,,,,,
GB7XG,70CM,RU70,430.875000,438.475000,103.5,SCOT,DV Scotland Phoenix,1,IO86,NO2602,GLENROTHES ,Y,Y,Y,Y,
GB7XN,70CM,DVU45,439.562500,430.562500,,CEN,FREESTAR,1,IO93KH,SK5979,WORKSOP,Y,Y,Y,,
GB7XX,70CM,DVU37,439.462500,430.462500,118.8,NOR,BRANDMEISTER,10,IO94,NZ2761,FELLING,Y,,,,
GB7XY,70CM,DVU34,439.425000,430.425000,,NOR,BRANDMEISTER,10,IO94EX,NZ2563,NEWCASTLE UPON TYNE,Y,,,,
GB7YD,70CM,DVU55,439.687500,430.687500,,SW,SW CLUSTER,5,IO80PW,ST5217,YEOVIL,Y,,,,
GB7YF,2M,RV61,145.762500,145.162500,94.8,SW,,,IO80PW,ST5217,YEOVIL,,,Y,,
GB7YI,70CM,DVU46,439.575000,430.575000,,NOR,BRANDMEISTER,10,IO84WX,NY9364,HEXHAM,Y,,,,
GB7YJ,70CM,DVU47,439.587500,430.587500,,CEN,BRANDMEISTER,3,IO92FH,SP3367,LEAMINGTON SPA,Y,,,,
GB7YL,2M,RV63,145.787500,145.187500,,CEN,DV Scotland Phoenix,1,JO02UL,TM5492,LOWESTOFT,Y,,,,
GB7YM,70CM,DVU57,439.712500,430.712500,,SW,SW CLUSTER,3,IO70XI,SX5252,PLYMOUTH,Y,,,,
GB7YN,70CM,DVU-R23,430.287500,439.287500,,NOR,freeDMR,5,IO93HO,SE3813,WAKEFIELD,Y,,,,
GB7YR,70CM,DVU42,439.525000,430.525000,,NOR,BRANDMEISTER,2,IO93,SK5198,DONCASTER,Y,,,,
GB7YS,70CM,RU79,430.987500,438.587500,67.0,NOR,,,IO83,SD3112,SOUTHPORT,,,Y,,
GB7YY,70CM,DVU34,439.425000,430.425000,,SW,,4,IO81QJ,ST5566,DUNDRY,Y,Y,Y,Y,
GB7YZ,70CM,DVU38,439.475000,430.475000,,WM,BRANDMEISTER,,IO83JE,SJ2166,MOLD,Y,,Y,,
GB7ZE,70CM,RB02,433.050000,434.650000,103.5,SE,BRANDMEISTER,3,JO00GU,TQ7910,HASTINGS,Y,,,,
GB7ZP,70CM,DVU39,439.487500,430.487500,,SE,,,JO01FS,TL7210,CHELMSFORD,,Y,,,
GB7ZT,70CM,DVU32,439.400000,430.400000,,SCOT,BRANDMEISTER,9,IO75LC,NX0882,BALLANTRAE,Y,,,,
M0OFF,70CM,DVU12,439.150000,430.150000,94.8,CEN,,,IO92VI,TL2473,HUNTINGDON,,,,Y,
M0RVB,70CM,,438.800000,434.000000,,NOR,,,IO93EU,SE2638,LEEDS,,,Y,,
M0WTV,2M,RV48,145.600000,145.000000,,NOR,,,IO83,SD6711,WINTER HILL  LANCS,,Y,,,
M0XYN,2M,RV47,145.587500,144.987500,82.5,NOR,,6,IO93HP,SE3814,WAKEFIELD,Y,Y,Y,,
M0ZAH,70CM,DMU28,439.350000,430.350000,94.8,CEN,,,JO02,TG2609,THORPE ST ANDREW,Y,,,,
M0ZAH,70CM,DVU34,439.425000,430.425000,94.8,CEN,,1,JO02PP,TG2210,NORWICH,Y,Y,Y,Y,
MB5DL,70CM,RU72,430.900000,438.500000,118.8,WM,,,IO82TA,SO7438,LEDBURY,,,Y,,
MB5DS,70CM,RU74,430.925000,438.525000,82.5,CEN,FREESTAR,7,JO03DH,TF5083,MABLETHORPE,Y,Y,Y,,
MB5KT,70CM,DVU-R24,430.300000,439.300000,,NOR,freeDMR,5,IO93AU,SE0541,KEIGHLEY,Y,,,,
